facebook.com,157.240.3.35
youtube.com,216.58.217.46
yahoo.com,98.137.11.163
live.com,204.79.197.212
wikipedia.org,198.35.26.96
msn.com,13.82.28.61
baidu.com,39.156.69.79
blogspot.com,172.217.3.169
microsoft.com,13.77.161.179
qq.com,58.250.137.36
taobao.com,140.205.94.189
bing.com,204.79.197.200
sina.com.cn,123.126.55.41
soso.com,118.191.216.57
163.com,123.58.180.7
ask.com,151.101.54.114
adobe.com,193.104.215.58
twitter.com,104.244.42.65
mozilla.com,63.245.208.194
youku.com,106.11.43.107
sdjjdsaf.com,
andysayler.com,159.89.253.85
wmfo.org,23.92.21.128
