yahoo.co.jp,183.79.135.206
amazon.com,205.251.242.103
tudou.com,106.11.43.71
sohu.com,211.159.191.18
wordpress.com,192.0.78.9
ebay.com,66.135.195.175
hao123.com,106.120.159.68
apple.com,17.253.144.10
windows.com,104.215.148.63
pps.tv,116.211.199.235
56.com,183.232.65.145
xunlei.com,UNHANDELED
paypal.com,64.4.250.37
fc2.com,199.48.210.152
sogou.com,118.191.216.57
ku6.com,117.50.1.222
tmall.com,140.205.130.99
about.com,UNHANDELED
rakuten.co.jp,133.237.16.234
orkut.com.br,132.148.40.250
hotmail.com,204.79.197.212
360.cn,36.99.170.84
craigslist.org,208.82.237.129
weather.com,104.126.221.252
soku.com,106.11.47.19
facebook.com,UNHANDELED
youtube.com,UNHANDELED
alibaba.com,205.204.101.142
yahoo.com,UNHANDELED
renren.com,120.133.2.242
livedoor.jp,203.104.153.16
goo.ne.jp,114.179.184.93
ifeng.com,123.103.122.24
blogger.com,UNHANDELED
vkontakte.ru,87.240.190.67
answers.com,151.101.192.203
live.com,204.79.197.212
megaupload.com
wikipedia.org,UNHANDELED
msn.com,13.82.28.61
baidu.com,39.156.69.79
blogspot.com,UNHANDELED
bbc.co.uk,UNHANDELED
yandex.ru,UNHANDELED
microsoft.com,40.112.72.205
myspace.com,63.135.90.70
mail.ru,UNHANDELED
rapidshare.com,0.0.0.0
daum.net,203.133.167.16
cnet.com,35.190.79.82
qq.com,58.250.137.36
taobao.com,140.205.220.96
bing.com,UNHANDELED
7k7k.com,157.185.175.102
4399.com,129.211.129.109
sina.com.cn,123.126.55.41
2345.com,14.29.109.15
photobucket.com,UNHANDELED
mediafire.com,104.16.203.237
soso.com,118.191.216.57
go.com,23.236.60.174
163.com,123.58.180.7
ask.com,151.101.70.114
ehow.com,23.72.66.189
twitter.com,104.244.42.1
seesaa.net,59.106.28.142
orkut.com,UNHANDELED
mozilla.com,44.236.48.31
adobe.com,192.147.130.204
youku.com,UNHANDELED
andysayler.com,159.89.253.85
wmfo.org,23.92.21.128
skype.com,104.40.50.126
ameblo.jp,151.101.193.83
sdjjdsaf.com
naver.com,210.89.164.90
flickr.com,65.8.237.125
paipai.com,106.39.169.133
4shared.com,204.155.149.42
alipay.com,110.75.139.5
softonic.com,35.227.233.104
nifty.com,222.158.213.148
amazon.co.jp,52.119.168.48
imageshack.us,208.94.3.18
cnn.com,UNHANDELED
tianya.cn,124.225.65.154
mywebsearch.com,34.102.244.163
zynga.com,UNHANDELED
linkedin.com,UNHANDELED
hp.com,15.72.164.74
dailymotion.com,195.8.215.136
imdb.com,52.94.225.248
aol.com,124.108.115.100
partypoker.com,195.72.134.91
walmart.com,161.170.230.170
kugou.com,183.131.48.92
ebay.de,66.135.196.249
youdao.com,103.72.47.248
hotfile.com,18.207.9.28
qiyi.com,111.206.13.64
pconline.com.cn,219.136.244.85
odnoklassniki.ru,5.61.23.11
jp.msn.com,13.88.15.24
